chr	pos	pool	founder	freq
chrX	380153	A.C	AB8	0.0038
chrX	380153	A.C	B1	0.6431
chrX	380153	A.C	B2	8e-04
chrX	380153	A.C	B3	0.001
chrX	380153	A.C	B4	3e-04
chrX	380153	A.C	B5	3e-04
chrX	380153	A.C	B6	0.0152
chrX	380153	A.C	B7	0.3355
chrX	400153	A.C	AB8	0.0041
chrX	400153	A.C	B1	0.643
chrX	400153	A.C	B2	4e-04
chrX	400153	A.C	B3	8e-04
chrX	400153	A.C	B4	3e-04
chrX	400153	A.C	B5	3e-04
chrX	400153	A.C	B6	0.0155
chrX	400153	A.C	B7	0.3356
chrX	420153	A.C	AB8	0.0052
chrX	420153	A.C	B1	0.6431
chrX	420153	A.C	B2	9e-04
chrX	420153	A.C	B3	0.0013
chrX	420153	A.C	B4	3e-04
chrX	420153	A.C	B5	3e-04
chrX	420153	A.C	B6	0.0149
chrX	420153	A.C	B7	0.3341
chrX	440153	A.C	AB8	0.0051
chrX	440153	A.C	B1	0.6411
chrX	440153	A.C	B2	7e-04
chrX	440153	A.C	B3	0.001
chrX	440153	A.C	B4	3e-04
chrX	440153	A.C	B5	3e-04
chrX	440153	A.C	B6	0.0161
chrX	440153	A.C	B7	0.3355
chrX	460153	A.C	AB8	0.0061
chrX	460153	A.C	B1	0.64
chrX	460153	A.C	B2	3e-04
chrX	460153	A.C	B3	9e-04
chrX	460153	A.C	B4	3e-04
chrX	460153	A.C	B5	3e-04
chrX	460153	A.C	B6	0.0166
chrX	460153	A.C	B7	0.3355
chrX	480153	A.C	AB8	0.0071
chrX	480153	A.C	B1	0.6393
chrX	480153	A.C	B2	0.0015
chrX	480153	A.C	B3	0.0019
chrX	480153	A.C	B4	3e-04
chrX	480153	A.C	B5	4e-04
chrX	480153	A.C	B6	0.0153
chrX	480153	A.C	B7	0.3341
chrX	500153	A.C	AB8	0.007
chrX	500153	A.C	B1	0.6406
chrX	500153	A.C	B2	0.0013
