chr	pos	pool	founder	freq
chrX	630153	A.C	AB8	0.0059
chrX	630153	A.C	B1	0.6423
chrX	630153	A.C	B2	0.0019
chrX	630153	A.C	B3	0.0016
chrX	630153	A.C	B4	3e-04
chrX	630153	A.C	B5	3e-04
chrX	630153	A.C	B6	0.0124
chrX	630153	A.C	B7	0.3353
chrX	650153	A.C	AB8	0.0071
chrX	650153	A.C	B1	0.6423
chrX	650153	A.C	B2	0.0017
chrX	650153	A.C	B3	0.0014
chrX	650153	A.C	B4	3e-04
chrX	650153	A.C	B5	3e-04
chrX	650153	A.C	B6	0.0123
chrX	650153	A.C	B7	0.3346
chrX	670153	A.C	AB8	0.0067
chrX	670153	A.C	B1	0.6423
chrX	670153	A.C	B2	0.0015
chrX	670153	A.C	B3	0.0014
chrX	670153	A.C	B4	3e-04
chrX	670153	A.C	B5	3e-04
chrX	670153	A.C	B6	0.0123
chrX	670153	A.C	B7	0.3351
chrX	690153	A.C	AB8	0.0067
chrX	690153	A.C	B1	0.6421
chrX	690153	A.C	B2	0.0012
chrX	690153	A.C	B3	0.0014
chrX	690153	A.C	B4	3e-04
chrX	690153	A.C	B5	3e-04
chrX	690153	A.C	B6	0.0127
chrX	690153	A.C	B7	0.3353
chrX	710153	A.C	AB8	0.0066
chrX	710153	A.C	B1	0.6421
chrX	710153	A.C	B2	0.0012
chrX	710153	A.C	B3	0.0014
chrX	710153	A.C	B4	3e-04
chrX	710153	A.C	B5	3e-04
chrX	710153	A.C	B6	0.0127
chrX	710153	A.C	B7	0.3354
chrX	730153	A.C	AB8	0.0066
chrX	730153	A.C	B1	0.642
chrX	730153	A.C	B2	0.0012
chrX	730153	A.C	B3	0.0014
chrX	730153	A.C	B4	3e-04
chrX	730153	A.C	B5	4e-04
chrX	730153	A.C	B6	0.0127
chrX	730153	A.C	B7	0.3354
chrX	750153	A.C	AB8	0.0067
chrX	750153	A.C	B1	0.642
chrX	750153	A.C	B2	0.0012
chrX	750153	A.C	B3	0.0013
chrX	750153	A.C	B4	3e-04
chrX	750153	A.C	B5	3e-04
chrX	750153	A.C	B6	0.0129
chrX	750153	A.C	B7	0.3353
chrX	770153	A.C	AB8	0.0067
chrX	770153	A.C	B1	0.6423
chrX	770153	A.C	B2	9e-04
chrX	770153	A.C	B3	0.0015
chrX	770153	A.C	B4	3e-04
chrX	770153	A.C	B5	3e-04
chrX	770153	A.C	B6	0.0132
chrX	770153	A.C	B7	0.3348
chrX	790153	A.C	AB8	0.0069
chrX	790153	A.C	B1	0.6422
chrX	790153	A.C	B2	0.001
chrX	790153	A.C	B3	0.0012
chrX	790153	A.C	B4	3e-04
chrX	790153	A.C	B5	3e-04
chrX	790153	A.C	B6	0.0134
chrX	790153	A.C	B7	0.3346
chrX	810153	A.C	AB8	0.007
chrX	810153	A.C	B1	0.6423
chrX	810153	A.C	B2	0.0012
chrX	810153	A.C	B3	0.001
chrX	810153	A.C	B4	3e-04
chrX	810153	A.C	B5	3e-04
chrX	810153	A.C	B6	0.0135
chrX	810153	A.C	B7	0.3343
chrX	830153	A.C	AB8	0.0071
chrX	830153	A.C	B1	0.6424
chrX	830153	A.C	B2	0.0013
chrX	830153	A.C	B3	0.0011
chrX	830153	A.C	B4	3e-04
chrX	830153	A.C	B5	3e-04
chrX	830153	A.C	B6	0.0134
chrX	830153	A.C	B7	0.3342
chrX	850153	A.C	AB8	0.0071
chrX	850153	A.C	B1	0.6423
chrX	850153	A.C	B2	0.0012
chrX	850153	A.C	B3	0.001
chrX	850153	A.C	B4	3e-04
chrX	850153	A.C	B5	3e-04
chrX	850153	A.C	B6	0.0136
chrX	850153	A.C	B7	0.3342
chrX	870153	A.C	AB8	0.0071
chrX	870153	A.C	B1	0.6424
chrX	870153	A.C	B2	0.0012
chrX	870153	A.C	B3	0.0011
chrX	870153	A.C	B4	3e-04
chrX	870153	A.C	B5	3e-04
chrX	870153	A.C	B6	0.0135
chrX	870153	A.C	B7	0.3341
chrX	890153	A.C	AB8	0.0071
chrX	890153	A.C	B1	0.6423
chrX	890153	A.C	B2	0.0012
chrX	890153	A.C	B3	0.001
chrX	890153	A.C	B4	3e-04
chrX	890153	A.C	B5	3e-04
chrX	890153	A.C	B6	0.0136
chrX	890153	A.C	B7	0.3341
chrX	910153	A.C	AB8	0.0071
chrX	910153	A.C	B1	0.6426
chrX	910153	A.C	B2	0.0012
chrX	910153	A.C	B3	0.0011
chrX	910153	A.C	B4	3e-04
chrX	910153	A.C	B5	3e-04
chrX	910153	A.C	B6	0.0136
chrX	910153	A.C	B7	0.3338
chrX	930153	A.C	AB8	0.0071
chrX	930153	A.C	B1	0.6427
chrX	930153	A.C	B2	0.0011
chrX	930153	A.C	B3	0.001
chrX	930153	A.C	B4	3e-04
chrX	930153	A.C	B5	3e-04
chrX	930153	A.C	B6	0.0137
chrX	930153	A.C	B7	0.3337
chrX	950153	A.C	AB8	0.0066
chrX	950153	A.C	B1	0.643
chrX	950153	A.C	B2	0.001
chrX	950153	A.C	B3	6e-04
chrX	950153	A.C	B4	3e-04
chrX	950153	A.C	B5	3e-04
chrX	950153	A.C	B6	0.0141
chrX	950153	A.C	B7	0.334
chrX	970153	A.C	AB8	0.0064
chrX	970153	A.C	B1	0.6431
chrX	970153	A.C	B2	8e-04
chrX	970153	A.C	B3	4e-04
chrX	970153	A.C	B4	3e-04
chrX	970153	A.C	B5	3e-04
chrX	970153	A.C	B6	0.0143
chrX	970153	A.C	B7	0.3343
chrX	990153	A.C	AB8	0.0063
chrX	990153	A.C	B1	0.6433
chrX	990153	A.C	B2	7e-04
chrX	990153	A.C	B3	3e-04
chrX	990153	A.C	B4	3e-04
chrX	990153	A.C	B5	3e-04
chrX	990153	A.C	B6	0.0144
chrX	990153	A.C	B7	0.3344
chrX	1010153	A.C	AB8	0.0062
chrX	1010153	A.C	B1	0.6435
chrX	1010153	A.C	B2	7e-04
chrX	1010153	A.C	B3	3e-04
chrX	1010153	A.C	B4	3e-04
chrX	1010153	A.C	B5	3e-04
chrX	1010153	A.C	B6	0.0143
chrX	1010153	A.C	B7	0.3343
chrX	1030153	A.C	AB8	0.006
chrX	1030153	A.C	B1	0.6436
chrX	1030153	A.C	B2	7e-04
chrX	1030153	A.C	B3	3e-04
chrX	1030153	A.C	B4	3e-04
chrX	1030153	A.C	B5	3e-04
chrX	1030153	A.C	B6	0.0147
chrX	1030153	A.C	B7	0.3341
chrX	1050153	A.C	AB8	0.006
chrX	1050153	A.C	B1	0.6434
chrX	1050153	A.C	B2	8e-04
chrX	1050153	A.C	B3	3e-04
chrX	1050153	A.C	B4	3e-04
chrX	1050153	A.C	B5	3e-04
chrX	1050153	A.C	B6	0.0147
chrX	1050153	A.C	B7	0.3342
chrX	1070153	A.C	AB8	0.006
chrX	1070153	A.C	B1	0.6434
chrX	1070153	A.C	B2	7e-04
chrX	1070153	A.C	B3	3e-04
chrX	1070153	A.C	B4	3e-04
